Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
10,20,3.80951E+12,3.80087E+12,3.79222E+12,3.78358E+12,3.74971E+12,3.71637E+12,3.68306E+12,3.64595E+12,3.60923E+12,3.57291E+12,3.53696E+12,3.221E+12,2.90833E+12,2.59892E+12,2.29271E+12,1.98966E+12,2.01049E+12,2.03117E+12,2.0517E+12,2.07209E+12,2.09233E+12,2.0494E+12,2.00675E+12,1.9644E+12,1.92233E+12,1.88054E+12,1.839E+12,1.79778E+12,1.75687E+12,1.71626E+12,1.67597E+12,1.70588E+12,1.73534E+12,1.76436E+12,1.79294E+12,1.82107E+12,1.85031E+12,1.87911E+12,1.90791E+12,1.9367E+12,1.9655E+12,1.9943E+12,2.0231E+12,2.0519E+12,2.08069E+12,2.10949E+12
20,30,2.63442E+12,2.60631E+12,2.57819E+12,2.55008E+12,2.50511E+12,2.4608E+12,2.4171E+12,2.37108E+12,2.32551E+12,2.28038E+12,2.23569E+12,2.4541E+12,2.67023E+12,2.88409E+12,3.09572E+12,3.30516E+12,2.99315E+12,2.6831E+12,2.375E+12,2.06882E+12,1.76457E+12,1.72005E+12,1.67584E+12,1.63194E+12,1.58833E+12,1.54504E+12,1.50259E+12,1.46048E+12,1.4187E+12,1.37725E+12,1.33613E+12,1.36504E+12,1.39353E+12,1.42162E+12,1.44929E+12,1.47656E+12,1.50485E+12,1.53273E+12,1.56061E+12,1.58849E+12,1.61637E+12,1.64425E+12,1.67213E+12,1.70001E+12,1.72789E+12,1.75577E+12
30,40,2.63442E+12,2.60631E+12,2.57819E+12,2.55008E+12,2.50511E+12,2.4608E+12,2.4171E+12,2.37108E+12,2.32551E+12,2.28038E+12,2.23569E+12,2.18546E+12,2.13575E+12,2.08655E+12,2.03785E+12,1.98966E+12,1.9441E+12,1.89881E+12,1.8538E+12,1.80905E+12,1.76457E+12,1.72005E+12,1.67584E+12,1.63194E+12,1.58833E+12,1.54504E+12,1.50259E+12,1.46048E+12,1.4187E+12,1.37725E+12,1.33613E+12,1.29563E+12,1.25552E+12,1.2158E+12,1.17646E+12,1.13752E+12,1.0976E+12,1.05807E+12,1.01855E+12,9.79018E+11,9.3949E+11,8.99962E+11,8.60435E+11,8.20907E+11,7.81379E+11,7.41852E+11
40,50,2.63442E+12,2.60631E+12,2.57819E+12,2.55008E+12,2.50511E+12,2.4608E+12,2.46755E+12,2.47153E+12,2.47551E+12,2.47951E+12,2.48352E+12,2.43583E+12,2.38864E+12,2.34193E+12,2.29571E+12,2.24995E+12,2.2066E+12,2.16351E+12,2.12067E+12,2.07809E+12,2.03576E+12,1.99261E+12,1.94975E+12,1.90719E+12,1.86491E+12,1.82292E+12,1.50921E+12,1.19824E+12,8.9001E+11,5.84503E+11,2.81715E+11,2.81646E+11,2.81561E+11,2.81461E+11,2.81345E+11,2.81213E+11,2.8112E+11,2.81012E+11,2.80904E+11,2.80796E+11,2.80687E+11,2.80579E+11,2.80471E+11,2.80363E+11,2.80254E+11,2.80146E+11
50,60,3.33176E+12,3.21074E+12,3.08973E+12,2.96871E+12,2.82866E+12,2.69053E+12,2.60026E+12,2.50784E+12,2.41628E+12,2.32557E+12,2.23569E+12,2.18546E+12,2.13575E+12,2.08655E+12,2.03785E+12,1.98966E+12,2.47918E+12,2.96558E+12,3.44887E+12,3.92906E+12,4.40617E+12,4.35667E+12,4.30747E+12,4.25856E+12,4.20994E+12,4.16161E+12,3.85861E+12,3.55817E+12,3.26031E+12,2.96501E+12,2.67225E+12,2.59125E+12,2.51103E+12,2.43159E+12,2.35292E+12,2.27503E+12,2.1952E+12,2.11615E+12,2.03709E+12,1.95804E+12,1.87898E+12,1.79992E+12,1.72087E+12,1.64181E+12,1.56276E+12,1.4837E+12
60,70,4.1208E+11,5.29192E+11,6.46303E+11,7.63415E+11,8.74643E+11,9.84416E+11,8.85772E+11,7.86924E+11,6.88967E+11,5.91884E+11,4.95659E+11,5.00752E+11,5.0579E+11,5.10774E+11,5.15704E+11,5.20582E+11,5.25004E+11,5.29393E+11,5.3375E+11,5.38074E+11,5.42366E+11,5.45108E+11,5.47818E+11,5.50498E+11,5.53146E+11,5.55763E+11,1.07891E+12,1.59738E+12,2.11117E+12,2.62031E+12,3.12481E+12,2.6006E+12,2.08227E+12,1.56981E+12,1.0632E+12,5.62426E+11,47032564813,0,0,0,0,0,0,0,0,0
70,80,0,0,0,0,0,0,1.10752E+11,2.20515E+11,3.29309E+11,4.37151E+11,5.4406E+11,4.32958E+11,3.23017E+11,2.14222E+11,1.06555E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05651E+11,1.00546E+12,1.49943E+12,1.98758E+12,2.46991E+12,2.9668E+12,3.45786E+12,3.94893E+12,4.43999E+12,4.93106E+12,5.42212E+12,5.91319E+12,6.40425E+12,6.89532E+12,7.38638E+12
80,90,0,5.41211E+11,1.08242E+12,1.62363E+12,2.15038E+12,2.67019E+12,2.12894E+12,1.58957E+12,1.05502E+12,5.25196E+11,0,1.12321E+11,2.23465E+11,3.33449E+11,4.42291E+11,5.50007E+11,4.38607E+11,3.2791E+11,2.17912E+11,1.0861E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,3.03588E+12,2.47527E+12,1.91466E+12,1.35404E+12,7.8813E+11,2.29732E+11,2.33615E+11,2.37209E+11,2.40776E+11,2.44316E+11,2.47829E+11,2.50376E+11,2.52895E+11,2.55387E+11,2.57852E+11,2.60291E+11,2.07571E+11,1.55183E+11,1.03127E+11,51399701408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,150,2.08294E+12,2.08026E+12,2.07759E+12,2.07491E+12,2.05839E+12,2.04213E+12,2.29243E+12,2.53824E+12,2.78192E+12,3.02351E+12,3.26304E+12,3.27433E+12,3.28549E+12,3.29653E+12,3.30744E+12,3.31823E+12,3.31641E+12,3.31457E+12,3.31272E+12,3.31085E+12,3.30896E+12,3.2936E+12,3.27829E+12,3.26303E+12,3.24783E+12,3.23269E+12,2.74673E+12,2.26501E+12,1.78752E+12,1.31423E+12,8.45145E+11,8.44938E+11,8.44684E+11,8.44383E+11,8.44034E+11,8.43639E+11,8.43361E+11,8.43037E+11,8.42712E+11,8.42387E+11,8.42062E+11,8.41738E+11,8.41413E+11,8.41088E+11,8.40763E+11,8.40439E+11
150,200,0,0,0,0,0,0,2.97388E+11,5.92121E+11,8.84249E+11,1.17382E+12,1.46089E+12,1.43284E+12,1.40508E+12,1.37761E+12,1.35042E+12,1.3235E+12,1.86698E+12,2.40699E+12,2.94355E+12,3.47669E+12,4.00641E+12,3.97573E+12,3.94522E+12,3.91486E+12,3.88465E+12,3.85461E+12,3.69729E+12,3.54127E+12,3.38652E+12,3.23305E+12,3.08085E+12,3.03308E+12,2.98569E+12,2.93866E+12,2.89201E+12,2.84572E+12,2.79851E+12,2.75167E+12,2.70483E+12,2.65799E+12,2.61115E+12,2.56431E+12,2.51747E+12,2.47063E+12,2.42379E+12,2.37694E+12
200,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6797E+11,5.34237E+11,7.98809E+11,1.0617E+12,1.32291E+12,1.29374E+12,1.26477E+12,1.23599E+12,1.20741E+12,1.17903E+12,1.52736E+12,1.87254E+12,2.21459E+12,2.55351E+12,2.88932E+12,2.8697E+12,2.85013E+12,2.83062E+12,2.81117E+12,2.79177E+12,2.77223E+12,2.75275E+12,2.73327E+12,2.71379E+12,2.69431E+12,2.67483E+12,2.65535E+12,2.63586E+12,2.61638E+12,2.5969E+12
250,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10616108593,21151116729,31605344446,41979110642,52272732962,2.61741E+11,4.69338E+11,6.75071E+11,8.78945E+11,1.08097E+12,8.59796E+11,6.41119E+11,4.24931E+11,2.11226E+11,0,0,0,0,0,0,0,0,0,0,0
