Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-60,-50,0,6828099040,13581889251,20262790182,26843354859,33339413424,28077940677,22367838044,16670721133,10986244652,5314073430,4358799710,3407047415,2458762013,1513889637,572377858.7,62645401794,1.24598E+11,1.86432E+11,2.48146E+11,3.09744E+11,3.10727E+11,3.11707E+11,3.12685E+11,3.13661E+11,3.14634E+11,3.15298E+11,3.15959E+11,3.16619E+11,3.17276E+11,3.17932E+11,2.59591E+11,2.01512E+11,1.43694E+11,86137804284,28842654815,0,0,0,0,0,0,0,0,0,0
-50,-40,1.17091E+12,1.12913E+12,1.08782E+12,1.04697E+12,1.00549E+12,9.64528E+11,7.81429E+11,5.8542E+11,3.89853E+11,1.94717E+11,0,1095637858,2187312386,3275085369,4359017013,5439166730,4347102314,3257168712,2169350570,1083632677,0,8.69064E+11,1.73586E+12,2.60039E+12,3.46266E+12,4.3227E+12,4.32593E+12,4.32915E+12,4.33236E+12,4.33556E+12,4.33874E+12,4.37281E+12,4.40668E+12,4.44035E+12,4.47382E+12,4.50709E+12,4.54109E+12,4.57476E+12,4.60843E+12,4.6421E+12,4.67577E+12,4.70944E+12,4.74311E+12,4.77678E+12,4.81045E+12,4.84412E+12
-40,-30,4.17785E+12,4.0267E+12,3.87724E+12,3.72944E+12,3.57942E+12,3.43127E+12,2.99661E+12,2.51554E+12,2.03558E+12,1.55669E+12,1.07885E+12,1.89546E+12,2.70914E+12,3.51992E+12,4.32785E+12,5.13298E+12,5.25448E+12,5.37577E+12,5.49683E+12,5.61768E+12,5.73831E+12,4.87065E+12,4.00526E+12,3.14212E+12,2.28124E+12,1.4226E+12,1.42086E+12,1.41912E+12,1.41738E+12,1.41565E+12,1.41393E+12,1.57339E+12,1.73211E+12,1.8901E+12,2.04735E+12,2.20386E+12,2.36308E+12,2.52107E+12,2.67905E+12,2.83704E+12,2.99503E+12,3.15301E+12,3.311E+12,3.46899E+12,3.62697E+12,3.78496E+12
-30,-20,1.37588E+11,5.55133E+11,9.68135E+11,1.37668E+12,1.77895E+12,2.17604E+12,3.11134E+12,4.0145E+12,4.91575E+12,5.81512E+12,6.71268E+12,5.87053E+12,5.03151E+12,4.19557E+12,3.36267E+12,2.53275E+12,2.72506E+12,2.91701E+12,3.1086E+12,3.29983E+12,3.4907E+12,3.45128E+12,3.41197E+12,3.37276E+12,3.33365E+12,3.29465E+12,3.25607E+12,3.2176E+12,3.17925E+12,3.141E+12,3.10286E+12,2.86349E+12,2.62518E+12,2.38791E+12,2.15171E+12,1.91655E+12,1.67753E+12,1.44027E+12,1.20301E+12,9.65745E+11,7.28482E+11,4.9122E+11,2.53958E+11,16695182015,0,0
-20,-10,5.25973E+11,4.97673E+11,4.69687E+11,4.42008E+11,4.14186E+11,3.86715E+11,4.01608E+11,4.11129E+11,4.20636E+11,4.30129E+11,4.39609E+11,7.09516E+11,9.78451E+11,1.24643E+12,1.51347E+12,1.77958E+12,1.56852E+12,1.35786E+12,1.14762E+12,9.37789E+11,7.2836E+11,7.17972E+11,7.07612E+11,6.97279E+11,6.86973E+11,6.76694E+11,6.65921E+11,6.5518E+11,6.44469E+11,6.33789E+11,6.2314E+11,6.11838E+11,6.0058E+11,5.89367E+11,5.78199E+11,5.67075E+11,5.55788E+11,5.44575E+11,5.33362E+11,5.22149E+11,5.10936E+11,4.99723E+11,4.8851E+11,4.77296E+11,4.66083E+11,4.5487E+11
-10,0,6.77888E+12,6.27011E+12,5.76696E+12,5.2693E+12,4.77191E+12,4.28082E+12,4.08012E+12,3.82075E+12,3.56203E+12,3.30392E+12,3.04642E+12,2.65032E+12,2.2557E+12,1.86252E+12,1.47077E+12,1.08042E+12,1.06713E+12,1.05387E+12,1.04063E+12,1.02743E+12,1.01425E+12,9.99655E+11,9.85099E+11,9.70581E+11,9.56102E+11,9.41661E+11,9.31048E+11,9.20466E+11,9.09914E+11,8.99392E+11,8.88901E+11,8.72638E+11,8.56439E+11,8.40306E+11,8.24236E+11,8.08232E+11,7.9199E+11,7.75857E+11,7.59723E+11,7.43589E+11,7.27455E+11,7.11322E+11,6.95188E+11,6.79054E+11,6.6292E+11,6.46787E+11
0,0,60664283473,64243720165,67784856877,71288414338,74674902735,78017116227,84771409325,90433437852,96084564511,1.01725E+11,1.07355E+11,1.02486E+11,97635002725,92802976259,87989311917,83193732961,82170241909,81148966420,80129890419,79112997531,78098271985,76974701380,75854093668,74736437205,73621720524,72509932011,66829924903,61166433884,55519394527,49888745772,44274423353,43464450128,42657697465,41854161056,41053842285,40256737076,39447839428,38644302533,37840765638,37037228743,36233691848,35430154952,34626618057,33823081162,33019544267,32216007372
0.1,10,1.03742E+13,9.38386E+12,8.40443E+12,7.43569E+12,6.47047E+12,5.51752E+12,4.76602E+12,3.94002E+12,3.1159E+12,2.29363E+12,1.47315E+12,1.2476E+12,1.02288E+12,7.9899E+11,5.75906E+11,3.53618E+11,3.49268E+11,3.44927E+11,3.40596E+11,3.36274E+11,3.31961E+11,3.27184E+11,3.2242E+11,3.17668E+11,3.12929E+11,3.08203E+11,3.03251E+11,2.98314E+11,2.93391E+11,2.88483E+11,2.83588E+11,2.784E+11,2.73233E+11,2.68086E+11,2.62959E+11,2.57854E+11,2.52672E+11,2.47525E+11,2.42379E+11,2.37232E+11,2.32085E+11,2.26938E+11,2.21791E+11,2.16644E+11,2.11497E+11,2.0635E+11
10,20,7.15025E+11,1.01918E+12,1.32004E+12,1.61766E+12,1.91005E+12,2.19867E+12,2.85905E+12,3.4876E+12,4.11483E+12,4.74077E+12,5.36545E+12,5.27546E+12,5.18587E+12,5.09667E+12,5.00784E+12,4.91939E+12,4.85895E+12,4.79864E+12,4.73847E+12,4.67842E+12,4.6185E+12,4.55226E+12,4.4862E+12,4.42031E+12,4.35459E+12,4.28905E+12,4.22038E+12,4.15191E+12,4.08364E+12,4.01556E+12,3.94768E+12,3.87571E+12,3.80403E+12,3.73264E+12,3.66152E+12,3.5907E+12,3.51883E+12,3.44743E+12,3.37603E+12,3.30464E+12,3.23324E+12,3.16185E+12,3.09045E+12,3.01905E+12,2.94766E+12,2.87626E+12
20,30,5.21293E+12,4.62633E+12,4.04616E+12,3.47231E+12,2.90155E+12,2.33804E+12,2.1226E+12,1.87536E+12,1.62869E+12,1.38258E+12,1.13703E+12,1.11905E+12,1.10115E+12,1.08332E+12,1.06558E+12,1.04791E+12,1.03501E+12,1.02215E+12,1.00932E+12,9.96508E+11,9.83728E+11,9.69572E+11,9.55454E+11,9.41373E+11,9.27329E+11,9.13322E+11,8.9865E+11,8.8402E+11,8.69432E+11,8.54886E+11,8.40382E+11,8.25007E+11,8.09693E+11,7.9444E+11,7.79248E+11,7.64116E+11,7.48762E+11,7.33508E+11,7.18255E+11,7.03002E+11,6.87749E+11,6.72496E+11,6.57243E+11,6.4199E+11,6.26736E+11,6.11483E+11
