商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币,,商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币
27101919,"其他煤油馏分,不含有生物柴油",2020,出口,168816,千克,198909,升,"1,115,401",,27101992,"润滑脂,不含有生物柴油",2018,进口,2411860,千克,2715726,升,"78,075,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101919,其他煤油馏分，不含有生物柴油,2021,出口,17016262,千克,21249280,升,"44,477,357",,27101992,"润滑脂,不含有生物柴油",2019,进口,22340941,千克,25155484,升,"790,343,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101919,其他煤油馏分，不含有生物柴油,2022,出口,41578881,千克,56392757,升,"170,424,301",,27101992,"润滑脂,不含有生物柴油",2020,进口,22554370,千克,25395869,升,"803,783,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101299,"未列名轻油及其制品,不含有生物柴油",2018,出口,6346103,千克,0,?,"46,405,412",,27101992,润滑脂，不含有生物柴油,2021,进口,2104271,千克,2369351,升,"71,951,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101299,"未列名轻油及其制品,不含有生物柴油",2019,出口,85577395,千克,0,?,"396,498,484",,27101992,润滑脂，不含有生物柴油,2022,进口,22114881,千克,24924206,升,"864,470,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101299,"未列名轻油及其制品,不含有生物柴油",2020,出口,13663575,千克,0,?,"73,730,470",,27101919,"其他煤油馏分,不含有生物柴油",2017,进口,42972341,千克,50257877,升,"271,176,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101299,未列名轻油及其制品，不含有生物柴油,2021,出口,6246764,千克,4874890,?,"37,874,969",,27101919,"其他煤油馏分,不含有生物柴油",2018,进口,5573056,千克,5862831,升,"35,363,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101299,未列名轻油及其制品，不含有生物柴油,2022,出口,4787304,千克,6545759,升,"38,223,474",,27101919,"其他煤油馏分,不含有生物柴油",2019,进口,84100504,千克,105927974,升,"558,788,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27090000,石油原油及从沥青矿物提取的原油,2017,出口,484455385,千克,0,?,"1,232,246,423",,27101919,"其他煤油馏分,不含有生物柴油",2020,进口,104976022,千克,133043034,升,"482,443,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27090000,石油原油及从沥青矿物提取的原油,2018,出口,2626588016,千克,0,?,"8,414,328,639",,27101919,其他煤油馏分，不含有生物柴油,2021,进口,5791275,千克,7358010,升,"28,678,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27090000,石油原油及从沥青矿物提取的原油,2019,出口,810025936,千克,0,?,"2,458,859,792",,27101919,其他煤油馏分，不含有生物柴油,2022,进口,275051730,千克,369218934,升,"1,600,351,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27090000,石油原油及从沥青矿物提取的原油,2020,出口,1638107013,千克,0,?,"3,341,476,728",,27101299,"未列名轻油及其制品,不含有生物柴油",2017,进口,1245253018,千克,0,?,"5,219,610,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27090000,石油原油及从沥青矿物提取的原油,2021,出口,2610761502,千克,0,?,"6,664,195,594",,27101299,"未列名轻油及其制品,不含有生物柴油",2018,进口,105930068,千克,0,?,"505,441,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27090000,石油原油及从沥青矿物提取的原油,2022,出口,2052009956,千克,0,?,"9,548,227,709",,27101299,"未列名轻油及其制品,不含有生物柴油",2019,进口,192916247,千克,0,?,"1,013,467,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069000,未列名植物油渣饼及其他固体残渣,2017,出口,7632130,千克,0,?,"13,262,364",,27101299,"未列名轻油及其制品,不含有生物柴油",2020,进口,356026122,千克,0,?,"1,106,228,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069000,未列名植物油渣饼及其他固体残渣,2018,出口,110643048,千克,0,?,"274,913,590",,27101299,未列名轻油及其制品，不含有生物柴油,2021,进口,25703606,千克,0,?,"101,282,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069000,未列名植物油渣饼及其他固体残渣,2019,出口,103566150,千克,0,?,"162,861,788",,27101299,未列名轻油及其制品，不含有生物柴油,2022,进口,45465833,千克,62955544,升,"406,148,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069000,未列名植物油渣饼及其他固体残渣,2020,出口,97911981,千克,0,?,"188,579,738",,27090000,石油原油及从沥青矿物提取的原油,2017,进口,4.19462E+11,千克,0,?,"1,110,210,349,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069000,未列名植物油渣饼及其他固体残渣,2021,出口,110491533,千克,0,?,"212,536,197",,27090000,石油原油及从沥青矿物提取的原油,2018,进口,4.61885E+11,千克,0,?,"1,588,962,594,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069000,未列名提炼植物或微生物油脂所得的油渣饼及其他固体残渣,2022,出口,117881920,千克,0,?,"198,019,214",,27090000,石油原油及从沥青矿物提取的原油,2019,进口,42587337023,千克,0,?,"131,967,980,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,27090000,石油原油及从沥青矿物提取的原油,2020,进口,5.42007E+11,千克,0,?,"1,236,213,195,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,27090000,石油原油及从沥青矿物提取的原油,2021,进口,44569071563,千克,0,?,"110,554,391,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,27090000,石油原油及从沥青矿物提取的原油,2022,进口,5.08276E+11,千克,0,?,"2,435,005,878,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26122000,钍矿砂及其精矿,2017,进口,6004235,千克,0,?,"110,772,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26122000,钍矿砂及其精矿,2018,进口,13840010,千克,0,?,"138,808,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26122000,钍矿砂及其精矿,2019,进口,284732,千克,0,?,"5,589,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26122000,钍矿砂及其精矿,2020,进口,34220928,千克,0,?,"284,012,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26122000,钍矿砂及其精矿,2021,进口,10966900,千克,0,?,"70,890,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26122000,钍矿砂及其精矿,2022,进口,45917202,千克,0,?,"1,439,306,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26121000,铀矿砂及其精矿,2018,进口,182,千克,0,?,"23,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26121000,铀矿砂及其精矿,2020,进口,2877,千克,0,?,"384,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26121000,铀矿砂及其精矿,2022,进口,4006,千克,0,?,"513,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23069000,未列名植物油渣饼及其他固体残渣,2017,进口,8423467,千克,0,?,"10,984,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23069000,未列名植物油渣饼及其他固体残渣,2019,进口,10663100,千克,0,?,"14,269,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23069000,未列名植物油渣饼及其他固体残渣,2020,进口,24586002,千克,0,?,"35,924,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23069000,未列名植物油渣饼及其他固体残渣,2021,进口,290000,千克,0,?,"281,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23069000,未列名提炼植物或微生物油脂所得的油渣饼及其他固体残渣,2022,进口,38186653,千克,0,?,"81,986,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
